# thetastar ombh2 omch2_eff Astau tau ns xi d1 d2 d3 d4 
3.384052031769722331e-12 -4.057692909060911376e-11 -3.757768129600140566e-09 -4.184436234226433054e-09 -1.132348043374496956e-08 6.282181432890410467e-10 2.193841853044800057e-07 -6.201477069438987858e-09 -2.821861002298380974e-08 -5.404356344958575924e-09 -9.935451405142885945e-10
-4.057692909060835120e-11 6.666105320481073445e-09 9.302584116763894511e-08 1.218431943183433607e-07 2.972007428071188814e-07 1.943499599062073572e-07 -3.321495472512163947e-06 5.120773692937230759e-07 8.342747416399582314e-07 2.333347532455544497e-07 -1.087579091431590643e-07
-3.757768129600136430e-09 9.302584116763959362e-08 6.460938190460428570e-06 -1.079790404234300019e-04 1.707240821985801777e-05 3.534950875745294791e-06 2.447262507589551597e-05 1.555224398663861122e-05 4.209826648553030028e-05 6.773158527775933656e-06 4.955476992378834429e-06
-4.184436234223438660e-09 1.218431943182651690e-07 -1.079790404234352060e-04 9.045461152337537503e-02 9.755499925335773333e-05 5.498724860770672445e-06 -1.131155715896303704e-01 -2.240759516384292305e-05 1.296898630093091739e-03 1.115492220038553396e-03 -5.372855253021584102e-04
-1.132348043374495302e-08 2.972007428071226930e-07 1.707240821985803132e-05 9.755499925337926829e-05 7.166595535810581610e-05 -5.735040686226791095e-06 -1.228657871752980319e-03 3.374492837121538009e-05 1.183477201714599125e-04 1.166605392340564729e-05 1.055509811599524762e-05
6.282181432891081517e-10 1.943499599062051603e-07 3.534950875745205853e-06 5.498724860759182443e-06 -5.735040686227188353e-06 2.726056223490262663e-05 5.107351766419804566e-04 3.475598934863210733e-05 2.956280176492858373e-05 1.806679967622644797e-05 -9.023091737032004340e-06
2.193841853044752147e-07 -3.321495472512177923e-06 2.447262507589956817e-05 -1.131155715896307451e-01 -1.228657871752957551e-03 5.107351766419616999e-04 2.531689172905008389e-01 1.798041823350245356e-04 -4.435487606340848300e-03 -2.318491075432629975e-03 1.354093544932032447e-03
-6.201477069438885288e-09 5.120773692937221230e-07 1.555224398663850618e-05 -2.240759516382673455e-05 3.374492837121480411e-05 3.475598934863239871e-05 1.798041823350346458e-04 7.531202941232972229e-05 1.092507683739628169e-04 5.217348693366349215e-05 2.035575639002458384e-06
-2.821861002298363437e-08 8.342747416399611961e-07 4.209826648553015798e-05 1.296898630093108219e-03 1.183477201714590586e-04 2.956280176492943415e-05 -4.435487606340855239e-03 1.092507683739634539e-04 4.131156560726216630e-04 7.014492189909158270e-05 8.723753967004775365e-06
-5.404356344958455983e-09 2.333347532455560643e-07 6.773158527775848106e-06 1.115492220038544723e-03 1.166605392340510010e-05 1.806679967622694264e-05 -2.318491075432611327e-03 5.217348693366383097e-05 7.014492189909109481e-05 1.666883719711953417e-04 -3.144346933929636031e-05
-9.935451405143105147e-10 -1.087579091431582967e-07 4.955476992378842899e-06 -5.372855253021403040e-04 1.055509811599534080e-05 -9.023091737032006034e-06 1.354093544932010763e-03 2.035575639002523606e-06 8.723753967005158224e-06 -3.144346933929605538e-05 1.098084918816256029e-04
